DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Mar-2026,EQ,"2,459.80","2,472.90","2,436.00","2,464.90","2,447.00","2,442.40","2,450.97","3,710.00","2,436.00","27,52,075","6,74,52,52,596.10","1,65,970"
11-Mar-2026,EQ,"2,508.10","2,521.00","2,460.10","2,513.10","2,463.00","2,464.90","2,482.92","3,710.00","2,460.10","27,20,664","6,75,52,04,516.50","1,92,326"
10-Mar-2026,EQ,"2,541.00","2,545.20","2,490.10","2,527.40","2,517.40","2,513.10","2,507.26","3,710.00","2,490.10","43,23,710","10,84,06,45,308.20","2,14,008"
09-Mar-2026,EQ,"2,530.00","2,560.00","2,505.00","2,557.60","2,527.80","2,527.40","2,525.33","3,710.00","2,505.00","36,53,428","9,22,61,03,997.60","1,91,560"
06-Mar-2026,EQ,"2,572.00","2,619.20","2,553.60","2,578.80","2,560.00","2,557.60","2,581.54","3,710.00","2,546.40","39,98,643","10,32,26,55,875.30","1,43,599"
05-Mar-2026,EQ,"2,600.00","2,609.50","2,546.40","2,587.80","2,575.00","2,578.80","2,567.95","3,710.00","2,546.40","29,60,636","7,60,27,67,475.60","1,86,527"
04-Mar-2026,EQ,"2,625.00","2,635.00","2,580.40","2,613.50","2,583.00","2,587.80","2,598.18","3,710.00","2,561.30","34,46,434","8,95,44,59,042.60","1,93,409"
02-Mar-2026,EQ,"2,592.00","2,623.80","2,580.30","2,637.40","2,611.70","2,613.50","2,606.37","3,710.00","2,561.30","33,74,385","8,79,48,98,070.10","2,27,265"
27-Feb-2026,EQ,"2,681.60","2,688.60","2,626.10","2,647.70","2,639.70","2,637.40","2,644.90","3,763.20","2,561.30","50,83,717","13,44,59,33,670.90","1,66,737"
26-Feb-2026,EQ,"2,650.00","2,671.00","2,635.00","2,629.30","2,649.00","2,647.70","2,649.37","3,763.20","2,561.30","34,64,267","9,17,81,07,812.80","1,48,371"
25-Feb-2026,EQ,"2,596.00","2,654.20","2,595.00","2,573.70","2,629.00","2,629.30","2,632.16","3,763.20","2,561.30","36,21,285","9,53,17,84,527.20","1,70,312"
24-Feb-2026,EQ,"2,641.00","2,647.50","2,561.30","2,676.30","2,581.00","2,573.70","2,586.99","3,763.20","2,561.30","77,98,833","20,17,55,18,856.60","4,24,406"
23-Feb-2026,EQ,"2,686.00","2,704.00","2,660.20","2,686.20","2,674.00","2,676.30","2,675.99","3,763.20","2,585.00","46,99,596","12,57,60,73,695.10","1,71,914"
20-Feb-2026,EQ,"2,667.00","2,702.60","2,647.50","2,677.90","2,685.00","2,686.20","2,684.40","3,934.00","2,585.00","22,93,482","6,15,66,33,439.20","98,725"
19-Feb-2026,EQ,"2,708.00","2,748.70","2,666.60","2,694.90","2,675.00","2,677.90","2,709.33","3,934.00","2,585.00","32,38,849","8,77,50,99,079.90","1,37,884"
18-Feb-2026,EQ,"2,730.00","2,730.00","2,657.30","2,717.40","2,694.50","2,694.90","2,687.82","3,934.00","2,585.00","29,50,820","7,93,12,64,158.60","1,40,494"
17-Feb-2026,EQ,"2,716.00","2,760.00","2,695.20","2,706.60","2,719.80","2,717.40","2,735.60","3,934.00","2,585.00","42,09,118","11,51,44,52,779.90","1,63,505"
16-Feb-2026,EQ,"2,700.00","2,719.80","2,671.00","2,692.20","2,713.00","2,706.60","2,692.22","3,934.00","2,585.00","29,18,730","7,85,78,74,541.60","1,34,363"
13-Feb-2026,EQ,"2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","2,692.20","2,649.41","4,052.00","2,585.00","1,11,68,735","29,59,05,99,535.80","4,15,060"
12-Feb-2026,EQ,"2,869.80","2,880.00","2,740.00","2,909.80","2,741.90","2,750.10","2,778.17","4,052.00","2,740.00","1,06,12,156","29,48,23,35,572.60","6,60,406"
11-Feb-2026,EQ,"2,980.00","2,998.00","2,904.20","2,984.60","2,909.00","2,909.80","2,938.39","4,052.00","2,866.60","33,63,513","9,88,33,23,310.30","2,37,669"
10-Feb-2026,EQ,"2,949.80","3,011.60","2,943.50","2,948.20","2,983.00","2,984.60","2,985.30","4,052.00","2,866.60","35,47,763","10,59,11,45,975.60","2,20,699"
09-Feb-2026,EQ,"2,959.10","2,977.00","2,937.50","2,941.60","2,951.00","2,948.20","2,949.18","4,052.00","2,866.60","23,80,318","7,01,99,76,408.70","1,41,131"
06-Feb-2026,EQ,"2,976.60","2,985.00","2,916.00","2,991.50","2,940.30","2,941.60","2,934.09","4,150.00","2,866.60","46,87,389","13,75,32,36,280.20","3,47,514"
05-Feb-2026,EQ,"2,990.00","3,029.70","2,972.30","2,999.10","2,991.70","2,991.50","3,000.10","4,150.00","2,866.60","35,21,545","10,56,50,02,490.30","1,78,696"
04-Feb-2026,EQ,"3,120.00","3,120.00","2,986.00","3,225.30","2,999.90","2,999.10","3,020.56","4,150.00","2,866.60","1,08,52,595","32,78,09,47,704.20","5,03,705"
03-Feb-2026,EQ,"3,350.00","3,350.00","3,186.30","3,169.60","3,220.00","3,225.30","3,231.27","4,150.00","2,866.60","43,66,060","14,10,79,06,461.20","2,04,924"
02-Feb-2026,EQ,"3,198.00","3,198.00","3,134.00","3,186.90","3,167.00","3,169.60","3,164.69","4,150.00","2,866.60","26,36,272","8,34,29,86,354.50","1,08,170"
01-Feb-2026,EQ,"3,123.80","3,234.00","3,105.20","3,123.90","3,178.20","3,186.90","3,182.48","4,156.35","2,866.60","30,12,937","9,58,86,09,199.60","1,45,412"
30-Jan-2026,EQ,"3,141.00","3,141.00","3,092.00","3,144.40","3,129.00","3,123.90","3,121.64","4,156.35","2,866.60","30,22,068","9,43,38,21,429.30","80,949"
29-Jan-2026,EQ,"3,200.10","3,200.10","3,125.60","3,200.10","3,139.00","3,144.40","3,143.88","4,156.35","2,866.60","24,57,641","7,72,65,26,569.30","1,20,763"
28-Jan-2026,EQ,"3,176.00","3,205.20","3,170.60","3,158.00","3,199.00","3,200.10","3,191.18","4,156.35","2,866.60","27,51,234","8,77,96,79,675.40","1,51,790"
27-Jan-2026,EQ,"3,175.00","3,175.00","3,130.00","3,162.50","3,167.00","3,158.00","3,146.85","4,156.35","2,866.60","42,79,874","13,46,81,14,372.20","1,49,619"
23-Jan-2026,EQ,"3,190.30","3,194.50","3,152.00","3,150.40","3,157.00","3,162.50","3,176.59","4,191.35","2,866.60","20,68,857","6,57,19,05,073.60","89,144"
22-Jan-2026,EQ,"3,150.00","3,160.00","3,122.30","3,122.60","3,152.20","3,150.40","3,142.82","4,191.35","2,866.60","22,69,827","7,13,36,63,295.30","91,528"
21-Jan-2026,EQ,"3,100.00","3,138.50","3,082.00","3,102.30","3,122.00","3,122.60","3,112.68","4,191.35","2,866.60","20,15,150","6,27,25,10,286.10","1,38,565"
20-Jan-2026,EQ,"3,151.60","3,160.00","3,091.10","3,163.60","3,104.20","3,102.30","3,127.35","4,191.35","2,866.60","44,99,273","14,07,08,02,629.30","1,52,322"
19-Jan-2026,EQ,"3,188.00","3,220.00","3,152.10","3,206.70","3,161.00","3,163.60","3,168.85","4,191.35","2,866.60","33,87,562","10,73,46,71,175.00","1,77,858"
16-Jan-2026,EQ,"3,219.40","3,221.90","3,171.00","3,192.50","3,209.00","3,206.70","3,200.62","4,322.95","2,866.60","42,93,470","13,74,17,76,327.90","1,49,121"
14-Jan-2026,EQ,"3,260.00","3,260.00","3,183.00","3,268.00","3,197.80","3,192.50","3,205.64","4,322.95","2,866.60","35,39,511","11,34,63,86,248.00","1,46,477"
13-Jan-2026,EQ,"3,245.00","3,280.00","3,210.50","3,239.60","3,263.00","3,268.00","3,251.44","4,322.95","2,866.60","56,45,341","18,35,54,97,917.00","1,98,353"
12-Jan-2026,EQ,"3,203.00","3,252.00","3,174.30","3,207.80","3,243.00","3,239.60","3,212.14","4,322.95","2,866.60","22,28,342","7,15,77,53,630.70","1,26,371"
09-Jan-2026,EQ,"3,191.00","3,229.70","3,191.00","3,203.90","3,212.60","3,207.80","3,209.44","4,322.95","2,866.60","19,38,673","6,22,20,59,522.60","1,34,640"
08-Jan-2026,EQ,"3,286.90","3,286.90","3,182.00","3,295.60","3,196.00","3,203.90","3,211.48","4,322.95","2,866.60","41,59,336","13,35,76,35,924.00","1,91,554"
07-Jan-2026,EQ,"3,242.90","3,300.60","3,223.20","3,255.80","3,294.00","3,295.60","3,284.64","4,322.95","2,866.60","19,89,442","6,53,45,92,137.10","87,338"
06-Jan-2026,EQ,"3,210.00","3,263.20","3,205.00","3,216.10","3,256.80","3,255.80","3,242.40","4,322.95","2,866.60","29,12,325","9,44,29,29,253.60","1,63,408"
05-Jan-2026,EQ,"3,240.50","3,247.00","3,191.00","3,250.70","3,213.00","3,216.10","3,220.21","4,322.95","2,866.60","23,41,703","7,54,07,84,169.40","1,15,281"
02-Jan-2026,EQ,"3,234.00","3,254.30","3,219.50","3,227.40","3,245.70","3,250.70","3,241.10","4,322.95","2,866.60","11,84,324","3,83,85,16,572.70","63,356"
01-Jan-2026,EQ,"3,215.00","3,234.10","3,198.20","3,206.20","3,225.00","3,227.40","3,219.97","4,322.95","2,866.60","12,55,735","4,04,34,25,200.10","56,642"
31-Dec-2025,EQ,"3,240.00","3,246.00","3,198.50","3,246.80","3,210.00","3,206.20","3,216.08","4,322.95","2,866.60","33,62,634","10,81,45,02,991.90","1,45,683"
30-Dec-2025,EQ,"3,250.00","3,267.50","3,239.50","3,251.50","3,255.00","3,246.80","3,250.64","4,322.95","2,866.60","28,07,593","9,12,64,73,823.50","1,84,541"
